Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Lat","Lon"
"North Chimney","Castleton Tower > Castle Valley > Southeast Utah > Utah",https://www.mountainproject.com/route/105717307/north-chimney,3.6,-1,Trad,5.9,4,400,38.651,-109.3678
"Third Pillar, Regular Route","Dana Plateau > Lee Vining Canyon / Tioga Road > Sierra Eastside > California",https://www.mountainproject.com/route/105816995/third-pillar-regular-route,3.8,-1,Trad,5.10-,5,800,37.92309,-119.21264
"Bonnie's Roof","i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105801433/bonnies-roof,3.8,-1,Trad,5.9,2,250,41.74421,-74.179
"Dark Shadows","Dark Shadows Wall > Mescalito > 10-Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732380/dark-shadows,3.6,-1,Trad,5.8,4,350,36.12399,-115.49506
Freerider,"2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106261545/freerider,3.8,-1,"Trad, Boulder","5.13a V6-7 PG13",30,3300,37.73051,-119.63828
"Black Elk","Warbonnet Peak > Cirque of the Towers > Wind River Range > Wyoming",https://www.mountainproject.com/route/106229037/black-elk,3.9,-1,"Trad, Alpine",5.11a,8,1000,42.76202,-109.216
"Solar Slab","Solar Slab - Upper Tier > 12-Oak Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732257/solar-slab,3.5,-1,Trad,5.6,9,1220,36.10372,-115.48775
Butterballs,"The Cookie Cliff > Aj. Cookie Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105936538/butterballs,3.9,-1,Trad,5.11c,1,80,37.71772,-119.71881
"Center Route","Cynical Pinnacle > Cathedral Spires Area > South Platte > Colorado",https://www.mountainproject.com/route/105748816/center-route,3.9,-1,Trad,5.9+,3,,39.42059,-105.25164
"Rock Wars","Long Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868000/rock-wars,3.9,-1,Trad,5.10a,1,110,37.8446,-83.6686
"South Face","Charlotte Dome > 12 - Kearsarge Pass to Cedar Grove > High Sierra > California",https://www.mountainproject.com/route/105803532/south-face,3.8,-1,"Trad, Alpine",5.8,12,1500,36.78245,-118.48013
"The Prow","The Prow Area > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/106011864/the-prow,3.9,-1,Trad,5.11d,6,350,44.06298,-71.1656
"Regular Route","North Face > Fairview Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105847227/regular-route,3.7,-1,Trad,5.9,12,1000,37.87279,-119.40427
